PRISM Time Series Data
Location:  Lat: 47.8746   Lon: -98.5477   Elev: 1480ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1970-01 - 2025-01
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Apr-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
2022-04,3.73
2022-05,7.14
2022-06,3.81
2022-07,2.79
2022-08,1.38
2022-09,0.57
2022-10,0.32
2022-11,0.83
2022-12,1.69
2023-01,0.09
2023-02,0.17
2023-03,1.09
2023-04,2.07
2023-05,1.24
2023-06,4.67
2023-07,0.71
2023-08,2.03
2023-09,3.67
2023-10,2.32
2023-11,0.05
2023-12,0.77
2024-01,0.08
2024-02,0.30
2024-03,0.42
2024-04,1.71
2024-05,6.22
2024-06,5.56
2024-07,4.44
2024-08,3.15
2024-09,1.45
2024-10,0.50
2024-11,1.86
2024-12,0.52
2025-01,0.25
