PRISM Time Series Data
Location:  Lat: 47.9507   Lon: -97.5454   Elev: 1014ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1965-01 - 2024-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Oct-09
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
2001-06,1.94
2001-07,3.39
2001-08,2.92
2001-09,0.99
2001-10,1.50
2001-11,0.51
2001-12,0.32
2002-01,0.11
2002-02,0.08
2002-03,0.40
2002-04,1.08
2002-05,2.00
2002-06,5.90
2002-07,2.52
2002-08,4.22
2002-09,1.38
2002-10,1.04
2002-11,0.13
2002-12,0.52
2003-01,0.06
2003-02,0.21
2003-03,0.75
2003-04,0.65
2003-05,3.82
2003-06,2.95
2003-07,3.70
2003-08,1.15
2003-09,1.42
2003-10,0.39
2003-11,0.71
2003-12,0.52
2004-01,0.78
2004-02,0.28
2004-03,2.08
2004-04,0.78
2004-05,5.88
2004-06,0.85
2004-07,2.01
2004-08,2.15
2004-09,4.23
2004-10,1.59
2004-11,0.02
2004-12,1.12
2005-01,0.98
2005-02,0.10
2005-03,0.17
2005-04,0.76
2005-05,2.92
2005-06,7.35
2005-07,1.24
2005-08,3.45
2005-09,1.00
2005-10,3.27
2005-11,1.37
2005-12,0.75
2006-01,0.70
2006-02,0.52
2006-03,1.61
2006-04,0.84
2006-05,1.65
2006-06,1.37
2006-07,0.13
2006-08,2.72
2006-09,2.51
2006-10,1.12
2006-11,0.26
2006-12,0.94
2007-01,0.07
2007-02,0.76
2007-03,1.61
2007-04,0.77
2007-05,4.56
2007-06,4.67
2007-07,3.17
2007-08,2.78
2007-09,0.64
2007-10,2.44
2007-11,0.36
2007-12,1.06
2008-01,0.02
2008-02,0.66
2008-03,0.48
2008-04,0.58
2008-05,0.92
2008-06,2.96
2008-07,3.88
2008-08,2.44
2008-09,3.46
2008-10,4.31
2008-11,3.21
2008-12,1.24
2009-01,0.48
2009-02,0.93
2009-03,1.96
2009-04,1.31
2009-05,1.64
2009-06,3.70
2009-07,1.17
2009-08,2.92
2009-09,0.89
2009-10,2.61
2009-11,0.26
2009-12,1.48
2010-01,0.92
2010-02,0.51
2010-03,1.00
2010-04,1.43
2010-05,5.06
2010-06,2.92
2010-07,2.29
2010-08,2.31
2010-09,5.28
2010-10,2.29
2010-11,0.63
2010-12,0.44
2011-01,1.14
2011-02,0.06
2011-03,0.58
2011-04,2.16
2011-05,2.47
2011-06,5.48
2011-07,3.52
2011-08,2.55
2011-09,2.10
2011-10,0.46
2011-11,0.10
2011-12,0.50
2012-01,0.46
2012-02,0.59
2012-03,1.45
2012-04,0.79
2012-05,2.36
2012-06,1.72
2012-07,2.60
2012-08,1.90
2012-09,0.42
2012-10,3.08
2012-11,0.93
2012-12,0.26
2013-01,0.46
2013-02,0.70
2013-03,1.43
2013-04,1.74
2013-05,6.60
2013-06,5.16
2013-07,1.97
2013-08,0.84
2013-09,1.72
2013-10,3.18
2013-11,0.38
2013-12,1.06
2014-01,0.61
2014-02,0.25
2014-03,0.44
2014-04,3.22
2014-05,3.75
2014-06,6.38
2014-07,4.05
2014-08,5.44
2014-09,1.09
2014-10,0.57
2014-11,0.32
2014-12,0.27
2015-01,0.42
2015-02,0.29
2015-03,0.44
2015-04,0.67
2015-05,4.95
2015-06,3.44
2015-07,3.95
2015-08,1.79
2015-09,0.54
2015-10,1.07
2015-11,1.66
2015-12,1.38
2016-01,0.36
2016-02,0.24
2016-03,1.03
2016-04,1.95
2016-05,4.36
2016-06,4.63
2016-07,7.99
2016-08,4.77
2016-09,4.22
2016-10,1.16
2016-11,1.60
2016-12,2.05
2017-01,0.63
2017-02,0.38
2017-03,0.64
2017-04,2.34
2017-05,1.60
2017-06,3.47
2017-07,1.25
2017-08,2.02
2017-09,4.10
2017-10,0.17
2017-11,0.64
2017-12,0.78
2018-01,0.58
2018-02,0.54
2018-03,1.12
2018-04,0.12
2018-05,2.51
2018-06,4.53
2018-07,3.47
2018-08,0.75
2018-09,2.40
2018-10,2.99
2018-11,0.57
2018-12,0.72
2019-01,0.45
2019-02,1.71
2019-03,0.97
2019-04,1.74
2019-05,1.82
2019-06,3.04
2019-07,2.59
2019-08,3.49
2019-09,6.53
2019-10,4.97
2019-11,0.43
2019-12,2.43
2020-01,0.44
2020-02,0.08
2020-03,0.28
2020-04,1.53
2020-05,1.80
2020-06,2.21
2020-07,7.21
2020-08,1.26
2020-09,0.27
2020-10,0.30
2020-11,0.08
2020-12,0.32
2021-01,0.23
2021-02,0.14
2021-03,0.05
2021-04,0.63
2021-05,1.87
2021-06,2.58
2021-07,1.77
2021-08,4.56
2021-09,1.44
2021-10,4.14
2021-11,1.28
2021-12,1.68
2022-01,0.34
2022-02,0.80
2022-03,0.34
2022-04,5.30
2022-05,7.08
2022-06,2.54
2022-07,2.38
2022-08,1.52
2022-09,0.83
2022-10,0.26
2022-11,0.85
2022-12,1.92
2023-01,0.10
2023-02,0.26
2023-03,1.47
2023-04,2.49
2023-05,1.38
2023-06,4.50
2023-07,1.09
2023-08,1.92
2023-09,2.96
2023-10,2.28
2023-11,0.06
2023-12,0.80
2024-01,0.20
2024-02,0.37
2024-03,0.36
2024-04,1.73
2024-05,6.78
2024-06,5.17
2024-07,2.12
2024-08,3.40
2024-09,1.09
2024-10,0.83
2024-11,1.57
2024-12,0.67
